[[22.823128748498913, -10.72247057825739, -12.295736798533634], [1.0, 1.0, 1.0]]
[[59.5368247231914, -28.9475998772711, 32.00457613027368], [1.0, 1.0, 1.0]]
[[56.22553719994149, 0.8965215133682127, 42.241268910250305], [1.0, 1.0, 1.0]]
[[56.22553719994149, 0.8965215133682127, 28.172531527072923], [1.0, 1.0, 1.0]]
[[90.81458217411961, 0.8965215133682127, 42.241268910250305], [1.0, 1.0, 1.0]]
[[90.81458217411961, 0.8965215133682127, 28.172531527072923], [1.0, 1.0, 1.0]]
[[36.215225358917635, -0.2679676803480455, 35.22913633149754], [1.0, 1.0, 1.0]]
[[22.65263800333158, 0.3195832369491798, 54.70228696968866], [1.0, 1.0, 1.0]]
[[19.674799541680663, -2.7052454940637967, 127.10892220608545], [1.0, 1.0, 1.0]]
[[33.0105526133261, -2.7052454940637967, 112.32971285923796], [1.0, 1.0, 1.0]]
[[1.1718250534387842, -2.7052454940637967, 112.32971285923796], [1.0, 1.0, 1.0]]
