[[0.0, 0.27447502028907067, 1.323352030341693], [1.0, 1.0, 1.0]]
[[15.8426527311408, -1.7646541042448174, 30.00350878500362], [1.0, 1.0, 1.0]]
[[27.802997874604383, -1.7646541042448174, 42.47312406373899], [1.0, 1.0, 1.0]]
[[98.67792889203567, 0.3678033269188239, 34.75745640826183], [1.0, 1.0, 1.0]]
[[75.88290170698224, 0.3678033269188239, 46.52078249912989], [1.0, 1.0, 1.0]]
[[75.88290170698224, 0.3678033269188239, 24.86075984093721], [1.0, 1.0, 1.0]]
[[59.4409447882069, -18.935274300085617, -12.156276477232858], [1.0, 1.0, 1.0]]
[[21.834690386601952, -3.3317278303552986, 90.61204143050873], [1.0, 1.0, 1.0]]
[[29.186992232490756, 2.320717255777731, 122.85918104924104], [1.0, 1.0, 1.0]]
[[15.688227880748821, -1.7646541042448174, 42.47312406373899], [1.0, 1.0, 1.0]]
[[27.802997874604383, -1.7646541042448174, 30.231145074185008], [1.0, 1.0, 1.0]]
[[17.52028951807451, 1.3604010452208897, 107.2609716357255], [1.0, 1.0, 1.0]]
[[9.706173190172922, 1.3604010452208897, 121.92027572907027], [1.0, 1.0, 1.0]]
